Date,hospitalized,% hospitalized women,avg age hospitalized,respirated,% women on a respirator,avg age on a respirator,% unvaccinated on a respirator,mild sick,%mild sick women,% mild sick unvaccinated,avg mild sick,moderate sick,% women moderate sick,unvaccinated moderate sick,avg age moderate sick,critical sick,% critical sick women,% unvaccinated critical sick,avg age critical sick
2020-03-11,79,45.6,47.8,7.0,40.0,63.8,100.0,72.0,45.8,100.0,46.2,0.0,0.0,0.0,0.0,6.0,50.0,100.0,67.3
2020-03-12,102,49.0,49.9,2.0,40.0,63.8,100.0,95.0,49.5,100.0,48.9,0.0,0.0,0.0,0.0,1.0,50.0,100.0,67.3
2020-03-13,120,47.5,49.2,8.0,40.0,63.8,100.0,109.0,47.7,100.0,47.3,6.0,40.0,100.0,68.0,3.0,50.0,100.0,67.3
2020-03-14,158,49.4,47.4,12.0,0.0,70.3,100.0,148.0,50.7,100.0,45.7,2.0,40.0,100.0,68.0,10.0,20.0,100.0,76.8
2020-03-15,197,51.8,46.5,6.0,20.0,74.0,100.0,183.0,52.5,100.0,44.6,10.0,50.0,100.0,61.3,8.0,37.5,100.0,79.0
2020-03-16,215,51.2,46.6,8.0,16.7,74.7,100.0,200.0,52.0,100.0,44.8,13.0,60.0,100.0,58.0,10.0,30.0,100.0,77.9
2020-03-17,250,51.6,47.8,6.0,16.7,74.7,100.0,233.0,52.8,98.3,46.2,10.0,50.0,100.0,54.7,7.0,27.3,100.0,76.8
2020-03-18,302,49.0,47.6,0.0,16.7,74.7,100.0,276.0,51.1,98.2,45.7,4.0,27.3,100.0,58.5,15.0,26.7,100.0,74.4
2020-03-19,290,48.6,48.6,4.0,36.4,70.4,100.0,259.0,50.6,97.7,46.3,5.0,27.3,100.0,59.7,20.0,35.0,95.0,72.1
2020-03-20,284,48.6,50.6,13.0,36.4,70.4,100.0,248.0,50.8,96.8,48.4,2.0,28.6,100.0,58.3,22.0,36.4,95.5,70.5
2020-03-21,274,47.1,52.3,13.0,35.7,68.4,100.0,229.0,49.8,96.5,49.6,20.0,30.0,100.0,60.0,25.0,36.0,96.0,70.2
2020-03-22,322,47.2,52.8,21.0,23.8,66.3,100.0,256.0,52.0,97.3,49.1,31.0,29.0,100.0,64.5,35.0,28.6,97.1,70.0
2020-03-23,348,47.4,54.9,23.0,26.1,69.0,100.0,273.0,50.5,96.3,50.9,35.0,37.1,100.0,66.3,40.0,35.0,97.5,72.3
2020-03-24,392,44.6,54.8,25.0,20.0,66.9,100.0,302.0,48.0,96.7,50.9,47.0,36.2,100.0,66.2,43.0,30.2,97.7,69.6
2020-03-25,412,43.0,55.5,27.0,25.9,65.5,100.0,313.0,46.3,96.5,51.8,52.0,32.7,100.0,65.2,47.0,31.9,97.9,69.3
2020-03-26,465,43.9,54.9,30.0,26.7,62.8,100.0,347.0,47.3,96.5,51.5,66.0,37.9,100.0,63.6,52.0,28.8,96.2,66.0
